das Öl|the oil
das Gemüse|the vegetables
die Schuhe|the shoes
die Schuh|the shoe
die Tasche|the bag
die Tachen|the bags
der Rocke|the skirt
die Rocken|the shirts
der Fleck|the stain
die Flecken|the stains
die Jacke|the jacket
die Jacken|the jackets
der Mantel|the coat
die Mäntel|the coats
das Kleid|the dress
die Kleider|the dresses
die Mäuse|the mice
die Maus|the mouse
die Pferde|the horses
das Pferd|the horse
die Luft|the air
der Himmel|the sky
die Blumen|the flowers
die Blume|the flower
die Bäume|the trees
das Meer|the sea
der Mond|the moon
der Stern|the star
die Sonne|the sun

